gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
PDHX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	58	0	NA	NA	NA	NA	NA	NA
PDIA6	0	116	0	0	119	0	0	139	0	0	140	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDS5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	61	0	0	59	0	0	61	0
PDS5B	0	84	0	0	93	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDXK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	76	0	0	73	0	NA	NA	NA	NA	NA	NA
PDZD2	0	111	0	0	104	0	0	134	0	0	137	0	NA	NA	NA	NA	NA	NA	0	135	0	0	142	0
PDZD9	0	69	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDZRN3	0	95	0	0	102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDZRN4	0	90	0	0	91	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEA15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	44	0	NA	NA	NA	NA	NA	NA
PEBP1	0	69	0	0	72	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEBP4	0	50	0	0	57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PELI1	0	86	0	0	88	0	NA	NA	NA	NA	NA	NA	0	61	0	0	54	0	NA	NA	NA	NA	NA	NA
PELP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	55	0	NA	NA	NA	NA	NA	NA
PEMT	NA	NA	NA	NA	NA	NA	0	67	0	0	74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PER1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	64	0	NA	NA	NA	NA	NA	NA
PET117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20	0	NA	NA	NA
PEX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	0	0	58	0	0	72	0	0	73	0
PEX13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	0	0	37	0	NA	NA	NA	NA	NA	NA
PEX3	NA	NA	NA	NA	NA	NA	0	56	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PEX5L	0	113	0	0	112	0	0	81	0	0	82	0	NA	NA	NA	NA	NA	NA	0	64	0	0	63	0
PFDN4	NA	NA	NA	NA	NA	NA	0	65	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFKFB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	65	0	0	69	0
PFKFB3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	0	73	0	NA	NA	NA	NA	NA	NA
